┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│2022-06-09T15:41:49.992  │43296                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-09T17:21:35.394  │43307                    │cpu03                    │ 32                       │ cpu-opteron             │
│2022-06-09T18:11:25.977  │43308                    │cpu07                    │ 64                       │ cpu-opteron             │
│2022-06-09T18:24:49.500  │43309                    │cpu08                    │ 64                       │ cpu-opteron             │
│2022-06-09T21:53:00.577  │43318                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-09T21:57:47.083  │43319                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-09T22:07:21.184  │43323                    │cpu08                    │ 64                       │ cpu-opteron             │
│2022-06-09T22:58:51.894  │43324                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-09T23:00:37.028  │43325                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-09T23:02:38.295  │43327                    │cpu05                    │ 8                        │ cpu-opteron             │
│2022-06-09T23:04:12.432  │43329                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-09T23:04:49.484  │43330                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-10T01:07:48.746  │43333                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:08:27.779  │43334                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-10T01:12:55.257  │43336                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:14:35.403  │43337                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:16:43.585  │43339                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:17:04.609  │43340                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-10T01:18:13.799  │43342                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:18:49.851  │43343                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:20:12.971  │43344                    │cpu05                    │ 4                        │ cpu-opteron             │
│2022-06-10T01:23:23.319  │43347                    │cpu05                    │ 8                        │ cpu-opteron             │
│2022-06-10T01:41:21.229  │43353                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-10T01:42:31.500  │43354                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-10T10:19:27.928  │43359                    │cpu11                    │ 1                        │ cpu-opteron             │
│2022-06-10T10:33:13.466  │43360                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-10T10:59:12.241  │43365                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T13:00:22.835  │43372                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T13:15:12.474  │43373                    │cpu04                    │ 64                       │ cpu-opteron             │
│2022-06-10T14:27:05.174  │43375                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:08.604  │43377                    │cpu05                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:13.599  │43378                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:18.606  │43379                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:22.612  │43380                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:29.622  │43381                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:33.628  │43382                    │cpu03                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:38.635  │43383                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:42.641  │43384                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:48.650  │43385                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T14:30:53.657  │43386                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T22:58:57.971  │43387                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T23:01:25.294  │43388                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T23:07:21.159  │43389                    │cpu11                    │ 16                       │ cpu-opteron             │
│2022-06-10T23:12:19.744  │43390                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-10T23:18:42.970  │43391                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T11:09:43.997  │43434                    │cpu09                    │ 48                       │ cpu-opteron             │
│2022-06-11T11:09:52.009  │43435                    │cpu08                    │ 64                       │ cpu-opteron             │
│2022-06-11T11:26:15.759  │43436                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:15:33.765  │43437                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:45:47.996  │43443                    │cpu09                    │ 48                       │ cpu-opteron             │
│2022-06-11T13:46:48.923  │43444                    │cpu08                    │ 48                       │ cpu-opteron             │
│2022-06-11T13:47:01.088  │43445                    │cpu03                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:48:25.302  │43447                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:50:21.470  │43449                    │cpu11                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:51:06.533  │43450                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:51:59.610  │43451                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:55:23.711  │43453                    │cpu05                    │ 32                       │ cpu-opteron             │
│2022-06-11T13:56:16.080  │43455                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-11T14:03:27.881  │43457                    │cpu08                    │ 16                       │ cpu-opteron             │
│2022-06-11T14:09:19.726  │43459                    │cpu08                    │ 16                       │ cpu-opteron             │
│2022-06-11T15:11:11.636  │43462                    │cpu09                    │ 16                       │ cpu-opteron             │
│2022-06-11T20:48:33.332  │43469                    │cpu04                    │ 32                       │ cpu-opteron             │
│2022-06-11T20:48:49.665  │43470                    │cpu04                    │ 32                       │ cpu-opteron             │
